title,calc_country,d_startDate,calc_subMinorCategory,calc_lastUpdate,calc_githubURL
Urgent provisions to support the touristic sector,Italy,05/26/2021,Direct subsidies (full or partial) or damage compensation,10/15/2021,https://static.eurofound.europa.eu/covid19db/cases/IT-2021-22_2052.html
Urgent measures to support the textile and fashion sector,Italy,05/26/2021,Direct subsidies (full or partial) or damage compensation,10/15/2021,https://static.eurofound.europa.eu/covid19db/cases/IT-2021-22_2053.html
Measures to support business liquidity,Italy,05/26/2021,Access to finance,10/15/2021,https://static.eurofound.europa.eu/covid19db/cases/IT-2021-22_2054.html
Measures for the continuity of passenger air transport,Italy,05/26/2021,Direct subsidies (full or partial) or damage compensation,10/15/2021,https://static.eurofound.europa.eu/covid19db/cases/IT-2021-22_2055.html
Corona Job offensive,Austria,10/01/2020,"Active labour market policies (enhancing employability, training, subsidised job creation, etc.)",03/01/2023,https://static.eurofound.europa.eu/covid19db/cases/AT-2020-40_2056.html
Springboard initiative for long-term unemployed,Austria,07/01/2021,"Active labour market policies (enhancing employability, training, subsidised job creation, etc.)",07/10/2023,https://static.eurofound.europa.eu/covid19db/cases/AT-2021-27_2057.html
"Entertainment, cinema and audiovisual emergency fund",Italy,05/26/2021,Direct subsidies (full or partial) or damage compensation,10/15/2021,https://static.eurofound.europa.eu/covid19db/cases/IT-2021-22_2058.html
Budget for 2022 includes a number of measures to aid recovery,Ireland,10/12/2021,"Support for spending, stimulus packages",11/15/2021,https://static.eurofound.europa.eu/covid19db/cases/IE-2021-42_2060.html
"Funding package and supports for Tourism, Arts & Culture announced in Budget",Ireland,10/12/2021,"Support for spending, stimulus packages",11/15/2021,https://static.eurofound.europa.eu/covid19db/cases/IE-2021-42_2061.html
Prolonged terms in office for trade union officials and other employee representatives due to the pandemic,Poland,08/19/2021,Changes of working hours or work arrangements,11/18/2021,https://static.eurofound.europa.eu/covid19db/cases/PL-2021-34_2062.html
Companies Capitalisation Fund,Portugal,07/29/2021,Access to finance,11/18/2021,https://static.eurofound.europa.eu/covid19db/cases/PT-2021-31_2065.html
Subsidies for companies in the Adapt Tourism Program,Portugal,10/15/2021,Direct subsidies (full or partial) or damage compensation,07/10/2023,https://static.eurofound.europa.eu/covid19db/cases/PT-2021-42_2071.html
A_Rede - Online platform to support refugee families to find housing,Portugal,05/01/2023,Keeping or obtaining a safe home,07/10/2023,https://static.eurofound.europa.eu/covid19db/cases/PT-2023-18_2072.html
Support plan for the self-employed,France,01/01/2022,"Active labour market policies (enhancing employability, training, subsidised job creation, etc.)",11/18/2021,https://static.eurofound.europa.eu/covid19db/cases/FR-2022-1_2073.html
Measures to promote recruitment in the entertainment sector,France,07/01/2021,"Active labour market policies (enhancing employability, training, subsidised job creation, etc.)",11/18/2021,https://static.eurofound.europa.eu/covid19db/cases/FR-2021-27_2075.html
PSA Automobiles SA implementation of the long-term partial activity system,France,09/01/2021,Working time flexibility,11/18/2021,https://static.eurofound.europa.eu/covid19db/cases/FR-2021-36_2076.html
Re-introduction of online tutoring for primary and secondary school students,Croatia,11/04/2021,Changes in work organisation,09/06/2022,https://static.eurofound.europa.eu/covid19db/cases/HR-2021-45_2077.html
GPs must contact patients 65+ for COVID-19 vaccine,Croatia,10/29/2021,Access to healthcare,09/06/2022,https://static.eurofound.europa.eu/covid19db/cases/HR-2021-44_2078.html
Challenging refusals from Social Security contributions exemptions,Poland,10/20/2021,Deferral of payments or liabilities,03/23/2022,https://static.eurofound.europa.eu/covid19db/cases/PL-2021-43_2079.html
Mandatory COVID certificates for employees and users of public and state services,Croatia,11/15/2021,Occupational health and safety,09/06/2022,https://static.eurofound.europa.eu/covid19db/cases/HR-2021-47_2080.html
3-G-Rule in the workplace,Austria,11/01/2021,Occupational health and safety,06/19/2023,https://static.eurofound.europa.eu/covid19db/cases/AT-2021-45_2082.html
Company testing,Austria,02/15/2021,Occupational health and safety,01/12/2022,https://static.eurofound.europa.eu/covid19db/cases/AT-2021-8_2083.html
Rules for winter tourism season 2021/22,Austria,11/15/2021,Occupational health and safety,03/01/2023,https://static.eurofound.europa.eu/covid19db/cases/AT-2021-47_2084.html
COVID-19 response plan ,Austria,09/15/2021,Occupational health and safety,06/19/2023,https://static.eurofound.europa.eu/covid19db/cases/AT-2021-38_2085.html
Corona Bridging Loan for start-ups and scale-ups,Netherlands,04/29/2020,Access to finance,03/23/2022,https://static.eurofound.europa.eu/covid19db/cases/NL-2020-18_2086.html
Growth Facility (GF): government guarantee on risk-bearing capital,Netherlands,07/01/2020,Access to finance,01/31/2022,https://static.eurofound.europa.eu/covid19db/cases/NL-2020-27_2087.html
Bridging Loan for Starters and entrepreneurs ,Netherlands,01/01/2020,Access to finance,01/31/2022,https://static.eurofound.europa.eu/covid19db/cases/NL-2020-1_2088.html
Temporary regulation subsidy for events,Netherlands,07/01/2021,Direct subsidies (full or partial) or damage compensation,01/31/2022,https://static.eurofound.europa.eu/covid19db/cases/NL-2021-27_2089.html
Subsidy for fixed costs in agricultural and horticultural companies,Netherlands,01/01/2021,Direct subsidies (full or partial) or damage compensation,06/08/2022,https://static.eurofound.europa.eu/covid19db/cases/NL-2021-1_2090.html
Voucher credit scheme for the tourism and vacation industry,Netherlands,03/12/2020,Access to finance,06/08/2022,https://static.eurofound.europa.eu/covid19db/cases/NL-2020-11_2091.html
Walking beside – Support for youth employment,Finland,08/01/2021,"Active labour market policies (enhancing employability, training, subsidised job creation, etc.)",07/07/2023,https://static.eurofound.europa.eu/covid19db/cases/FI-2021-32_2092.html
Business Finland and Recovery and Resilience Facility funding,Finland,04/16/2021,Change of production/Innovation,07/07/2023,https://static.eurofound.europa.eu/covid19db/cases/FI-2021-16_2093.html
Mandatory COVID-19 testing for private sector employees,Greece,10/18/2021,Occupational health and safety,02/07/2022,https://static.eurofound.europa.eu/covid19db/cases/GR-2021-43_2094.html
Fixed cost subsidy for companies financially affected by the pandemic,Greece,11/16/2021,Direct subsidies (full or partial) or damage compensation,02/07/2022,https://static.eurofound.europa.eu/covid19db/cases/GR-2021-47_2095.html
State aid to support companies in the Regional Unit of Evia,Greece,12/09/2021,Direct subsidies (full or partial) or damage compensation,02/07/2022,https://static.eurofound.europa.eu/covid19db/cases/GR-2021-50_2096.html
Social partners expect European Care Strategy to address workforce needs,European Union,12/08/2021,Remuneration and rewards for workers in essential services,01/21/2022,https://static.eurofound.europa.eu/covid19db/cases/EU-2021-50_2097.html
European Commission relaunches Economic Governance Review,European Union,10/19/2021,"Support for spending, stimulus packages",01/21/2022,https://static.eurofound.europa.eu/covid19db/cases/EU-2021-43_2098.html
Exemption from Tax on Property Transfers,Malta,11/05/2021,"Support for spending, stimulus packages",06/19/2023,https://static.eurofound.europa.eu/covid19db/cases/MT-2021-45_2099.html
Scheme to protect primary residences,Greece,01/03/2022,Protection of vulnerable groups (beyond employment support),04/19/2022,https://static.eurofound.europa.eu/covid19db/cases/GR-2022-2_2100.html
Plan to boost social economy after COVID-19,European Union,12/09/2021,Remuneration and rewards for workers in essential services,01/21/2022,https://static.eurofound.europa.eu/covid19db/cases/EU-2021-50_2101.html
Unifying the validity period of vaccination certificates,European Union,12/21/2021,Creation of platforms for businesses aimed at customer,01/21/2022,https://static.eurofound.europa.eu/covid19db/cases/EU-2021-52_2102.html
COVID-19 pandemic response fund – Company grants,Estonia,07/12/2021,"Support for spending, stimulus packages",09/20/2022,https://static.eurofound.europa.eu/covid19db/cases/EE-2021-29_2103.html
Financial reward for vaccinated seniors,Slovakia,12/15/2021,Access to healthcare,02/07/2022,https://static.eurofound.europa.eu/covid19db/cases/SK-2021-51_2104.html
ESF measure Creative Vouchers COVID-19,Lithuania,07/13/2021,Direct subsidies (full or partial) or damage compensation,04/19/2022,https://static.eurofound.europa.eu/covid19db/cases/LT-2021-29_2105.html
Welfare fund,Belgium,06/01/2020,Access to finance,01/12/2022,https://static.eurofound.europa.eu/covid19db/cases/BE-2020-23_2106.html
Liquidity support for restaurateurs and hoteliers,Bulgaria,01/04/2022,Access to finance,04/01/2023,https://static.eurofound.europa.eu/covid19db/cases/BG-2022-2_2107.html
Support for HORECA sector to pay end-of-year bonus,Belgium,12/10/2021,"Income support for people in employment (e.g., short-time work)",03/03/2023,https://static.eurofound.europa.eu/covid19db/cases/BE-2021-50_2108.html
Adaptation courses for Ukrainian children aged 3 to 15,Czechia,04/01/2022,Access to childcare and education,09/15/2022,https://static.eurofound.europa.eu/covid19db/cases/CZ-2022-14_2109.html
Monthly allowance to pensions,Bulgaria,01/01/2022,Protection of vulnerable groups (beyond employment support),01/12/2022,https://static.eurofound.europa.eu/covid19db/cases/BG-2022-1_2110.html
Wage subsidy for employees,Latvia,10/01/2021,"Income support for people in employment (e.g., short-time work)",05/26/2022,https://static.eurofound.europa.eu/covid19db/cases/LV-2021-40_2111.html
Compensation scheme for cultural sector,Norway,03/08/2020,Direct subsidies (full or partial) or damage compensation,02/04/2022,https://static.eurofound.europa.eu/covid19db/cases/NO-2020-11_2112.html
New wage support scheme,Norway,12/01/2021,"Active labour market policies (enhancing employability, training, subsidised job creation, etc.)",02/04/2022,https://static.eurofound.europa.eu/covid19db/cases/NO-2021-49_2113.html
Special agreement covers overtime and pay for municipal workers,Norway,12/20/2021,Mobilisation of a larger workforce,02/04/2022,https://static.eurofound.europa.eu/covid19db/cases/NO-2021-52_2114.html
"Mechanism for internal flexibility, job stability and transition support",Spain,12/31/2021,Flexibilisation and security,10/13/2022,https://static.eurofound.europa.eu/covid19db/cases/ES-2021-53_2115.html
Care allowance in case of emergency measures during the epidemic,Czechia,11/01/2021,Support for parents and carers (financial or in kind),01/19/2022,https://static.eurofound.europa.eu/covid19db/cases/CZ-2021-45_2117.html
The next edition of the Anti-Crisis Shield comes to force in January,Poland,12/22/2021,Deferral of payments or liabilities,07/10/2023,https://static.eurofound.europa.eu/covid19db/cases/PL-2021-52_2118.html
Obligatory COVID-19 vaccination for selected occupational groups,Poland,12/23/2021,Occupational health and safety,07/10/2023,https://static.eurofound.europa.eu/covid19db/cases/PL-2021-52_2119.html
Counter-inflation Shield,Poland,01/20/2022,"Support for spending, stimulus packages",03/02/2023,https://static.eurofound.europa.eu/covid19db/cases/PL-2022-4_2120.html
Compensation for damage caused by COVID-19 vaccination or medical treatment,Slovenia,12/30/2021,Protection of vulnerable groups (beyond employment support),01/31/2022,https://static.eurofound.europa.eu/covid19db/cases/SI-2021-53_2121.html
Support to companies for the purchase of rapid antigenic tests,Slovenia,11/08/2021,Direct subsidies (full or partial) or damage compensation,06/15/2022,https://static.eurofound.europa.eu/covid19db/cases/SI-2021-46_2122.html
Promotion of wage bracket for doctors and dentists,Slovenia,12/30/2021,Remuneration and rewards for workers in essential services,06/22/2022,https://static.eurofound.europa.eu/covid19db/cases/SI-2021-53_2123.html
 Removing obstacles to the implementation of significant investments,Slovenia,05/31/2020,"Support for spending, stimulus packages",06/13/2023,https://static.eurofound.europa.eu/covid19db/cases/SI-2020-23_2124.html
Digital services delivered by ENERGO-PRO,Bulgaria,09/02/2021,Change of production/Innovation,03/14/2022,https://static.eurofound.europa.eu/covid19db/cases/BG-2021-36_2125.html
Healthcare professionals can transfer their holidays to the next year,Denmark,12/14/2021,Working time flexibility,04/19/2022,https://static.eurofound.europa.eu/covid19db/cases/DK-2021-51_2127.html
COVID-19 winter package for hospitals,Denmark,12/05/2021,"Income support for people in employment (e.g., short-time work)",04/19/2022,https://static.eurofound.europa.eu/covid19db/cases/DK-2021-50_2128.html
Pool for discarded perishable items,Denmark,12/10/2021,Direct subsidies (full or partial) or damage compensation,03/14/2022,https://static.eurofound.europa.eu/covid19db/cases/DK-2021-50_2129.html
COVID-19 prevention at Port Burgas,Bulgaria,03/11/2020,Change of production/Innovation,01/18/2022,https://static.eurofound.europa.eu/covid19db/cases/BG-2020-11_2131.html
Tax and contribution exemption for COVID-19-related special payments,Germany,03/01/2020,"Support for spending, stimulus packages",02/27/2023,https://static.eurofound.europa.eu/covid19db/cases/DE-2020-10_2132.html
Tripartite agreement and Act allowing companies to require corona passports and self-testing,Denmark,11/12/2021,Occupational health and safety,03/14/2022,https://static.eurofound.europa.eu/covid19db/cases/DK-2021-46_2133.html
Wage subsidy for self-employed,Latvia,10/01/2021,"Income support for people in employment (e.g., short-time work)",05/26/2022,https://static.eurofound.europa.eu/covid19db/cases/LV-2021-40_2134.html
Change in sickness and parental benefits for the self-employed,Denmark,06/01/2021,Extensions of income support to workers not covered by any kind of protection scheme,03/14/2022,https://static.eurofound.europa.eu/covid19db/cases/DK-2021-23_2135.html
Grant for working capital flow (re-introduced),Latvia,10/01/2021,Direct subsidies (full or partial) or damage compensation,05/26/2022,https://static.eurofound.europa.eu/covid19db/cases/LV-2021-40_2136.html
Exceptional financial support for training organisations,Luxembourg,10/15/2021,"Active labour market policies (enhancing employability, training, subsidised job creation, etc.)",06/02/2023,https://static.eurofound.europa.eu/covid19db/cases/LU-2021-42_2137.html
Sofia Plus App,Bulgaria,10/07/2021,Change of production/Innovation,01/18/2022,https://static.eurofound.europa.eu/covid19db/cases/BG-2021-41_2138.html
New means of payment for energy bills,Bulgaria,01/01/2021,Changes in work organisation,03/21/2023,https://static.eurofound.europa.eu/covid19db/cases/BG-2021-1_2139.html
Regulations on biological risks of employees exposed to COVID-19,France,07/19/2021,Occupational health and safety,04/25/2022,https://static.eurofound.europa.eu/covid19db/cases/FR-2021-30_2140.html
Car purchase incentives to support the automotive industry,Italy,03/01/2019,"Support for spending, stimulus packages",02/04/2022,https://static.eurofound.europa.eu/covid19db/cases/IT-2019-9_2141.html
Postponement of tax payments (re-introduced),Latvia,10/11/2021,Deferral of payments or liabilities,05/26/2022,https://static.eurofound.europa.eu/covid19db/cases/LV-2021-42_2142.html
Voucher for the purchase of consultancy services for SMEs,Italy,01/01/2019,Change of production/Innovation,02/04/2022,https://static.eurofound.europa.eu/covid19db/cases/IT-2019-1_2143.html
Preventing the spread of COVID-19 in METRO stores,Bulgaria,01/01/2021,Change of production/Innovation,01/18/2022,https://static.eurofound.europa.eu/covid19db/cases/BG-2021-1_2146.html
Non-repayable allowance for operators in the historic centres,Italy,08/15/2020,Direct subsidies (full or partial) or damage compensation,02/04/2022,https://static.eurofound.europa.eu/covid19db/cases/IT-2020-33_2147.html
Tax deduction of the costs for renovation works,Italy,05/19/2020,Direct subsidies (full or partial) or damage compensation,02/04/2022,https://static.eurofound.europa.eu/covid19db/cases/IT-2020-21_2148.html
CovidCheck in business: 3G plan,Luxembourg,01/15/2022,Occupational health and safety,06/01/2022,https://static.eurofound.europa.eu/covid19db/cases/LU-2022-3_2149.html
Measures on work placement,Luxembourg,12/20/2021,"Active labour market policies (enhancing employability, training, subsidised job creation, etc.)",06/01/2022,https://static.eurofound.europa.eu/covid19db/cases/LU-2021-52_2150.html
Limiting the risk of COVID-19 in Sofia University,Bulgaria,09/28/2021,Occupational health and safety,01/18/2022,https://static.eurofound.europa.eu/covid19db/cases/BG-2021-40_2151.html
New measures concerning re-employment contracts,Luxembourg,01/12/2022,"Active labour market policies (enhancing employability, training, subsidised job creation, etc.)",01/31/2022,https://static.eurofound.europa.eu/covid19db/cases/LU-2022-3_2152.html
Preventing the spread of the COVID-19 in hotel Augusta,Bulgaria,10/21/2021,Occupational health and safety,05/26/2022,https://static.eurofound.europa.eu/covid19db/cases/BG-2021-43_2153.html
"Support for cultural, recreational and leisure venues affected by the COVID-19 crisis",Latvia,10/01/2021,Direct subsidies (full or partial) or damage compensation,01/31/2022,https://static.eurofound.europa.eu/covid19db/cases/LV-2021-40_2154.html
Helpline for teachers and students,Bulgaria,12/14/2021,Access to healthcare,03/01/2023,https://static.eurofound.europa.eu/covid19db/cases/BG-2021-51_2155.html
Employee training for business resilience,Hungary,10/01/2021,Flexibilisation and security,06/08/2022,https://static.eurofound.europa.eu/covid19db/cases/HU-2021-40_2156.html
Together Again National Program,Bulgaria,06/16/2021,Provision of services in kind (e.g. food vouchers),03/01/2023,https://static.eurofound.europa.eu/covid19db/cases/BG-2021-25_2157.html
Overview of bonuses in 2021 collective agreements,Germany,01/01/2021,"Support for spending, stimulus packages",03/14/2022,https://static.eurofound.europa.eu/covid19db/cases/DE-2021-1_2158.html
Pension payment arrangements introduced by Bulgarian Posts,Bulgaria,12/07/2021,Well-being of workers,01/18/2022,https://static.eurofound.europa.eu/covid19db/cases/BG-2021-50_2160.html
Utility bill reduction for SMEs,Hungary,12/05/2021,Access to finance,09/06/2022,https://static.eurofound.europa.eu/covid19db/cases/HU-2021-50_2161.html
Non-repayable allowance for the tanning industry,Italy,01/08/2022,Direct subsidies (full or partial) or damage compensation,02/04/2022,https://static.eurofound.europa.eu/covid19db/cases/IT-2022-2_2162.html
Non-repayable grants for companies in the events sector,Italy,01/04/2022,Direct subsidies (full or partial) or damage compensation,02/04/2022,https://static.eurofound.europa.eu/covid19db/cases/IT-2022-2_2163.html
Incentives for the industrial and ecological transition,Italy,01/01/2022,Change of production/Innovation,02/04/2022,https://static.eurofound.europa.eu/covid19db/cases/IT-2022-1_2164.html
Emergency fund for local broadcasters,Italy,05/19/2020,Direct subsidies (full or partial) or damage compensation,02/04/2022,https://static.eurofound.europa.eu/covid19db/cases/IT-2020-21_2165.html
Grant aid to bus carriers,Bulgaria,12/01/2021,Access to finance,03/01/2023,https://static.eurofound.europa.eu/covid19db/cases/BG-2021-49_2166.html
Support for the tourism sector in the pandemic,Bulgaria,12/07/2021,Access to finance,04/18/2023,https://static.eurofound.europa.eu/covid19db/cases/BG-2021-50_2167.html
Additional funding announced to support live performance sector,Ireland,12/20/2021,"Support for spending, stimulus packages",02/03/2022,https://static.eurofound.europa.eu/covid19db/cases/IE-2021-52_2169.html
New annual grant for apprenticeship employers,Ireland,01/01/2022,"Active labour market policies (enhancing employability, training, subsidised job creation, etc.)",02/03/2022,https://static.eurofound.europa.eu/covid19db/cases/IE-2022-1_2170.html
Governmental investments in green jobs,Sweden,01/01/2022,"Active labour market policies (enhancing employability, training, subsidised job creation, etc.)",03/14/2022,https://static.eurofound.europa.eu/covid19db/cases/SE-2022-1_2171.html
COVID-19 self-testing by pupils and students in primary and secondary schools,Croatia,02/09/2022,Occupational health and safety,09/01/2022,https://static.eurofound.europa.eu/covid19db/cases/HR-2022-7_2175.html
Government funded private accommodation for Ukrainian refugees,Croatia,03/23/2022,Keeping or obtaining a safe home,06/20/2022,https://static.eurofound.europa.eu/covid19db/cases/HR-2022-13_2181.html
'Croatia for Ukraine' - Website with relevant information for Ukrainian refugees,Croatia,03/20/2022,Other humanitarian measures,06/20/2022,https://static.eurofound.europa.eu/covid19db/cases/HR-2022-13_2183.html
Temporary protection in Croatia for displaced persons from Ukraine,Croatia,03/07/2022,Protection of vulnerable groups (beyond employment support),04/17/2023,https://static.eurofound.europa.eu/covid19db/cases/HR-2022-11_2184.html
Tax deferral for energy-intensive undertakings,Lithuania,10/07/2022,Deferral of payments or liabilities,04/21/2023,https://static.eurofound.europa.eu/covid19db/cases/LT-2022-41_2188.html
Access to higher education for Ukrainian students and to employment for teachers and scientists,Croatia,04/15/2022,Access to childcare and education,06/20/2022,https://static.eurofound.europa.eu/covid19db/cases/HR-2022-16_2191.html
Intensive language courses for Ukrainian children,Czechia,04/01/2022,Access to childcare and education,09/15/2022,https://static.eurofound.europa.eu/covid19db/cases/CZ-2022-14_2192.html
Jobs4UA.cz: A platform for Ukrainian jobseekers,Czechia,03/24/2022,Smoothing frictions or reallocation of workers,06/20/2022,https://static.eurofound.europa.eu/covid19db/cases/CZ-2022-13_2193.html
Temporary protection visas for Ukrainian refugees,Czechia,03/22/2022,Protection of vulnerable groups (beyond employment support),06/20/2022,https://static.eurofound.europa.eu/covid19db/cases/CZ-2022-13_2195.html
Social rights and assistance for refugees from Ukraine,Croatia,04/07/2022,Protection of vulnerable groups (beyond employment support),04/17/2023,https://static.eurofound.europa.eu/covid19db/cases/HR-2022-15_2199.html
Emergency humanitarian allowance for Ukrainian refugees,Czechia,03/21/2022,Other humanitarian measures,06/20/2022,https://static.eurofound.europa.eu/covid19db/cases/CZ-2022-13_2200.html
Increase in study allowances to mitigate the effects of increased cost of living,Finland,08/01/2022,Increasing income in general,06/20/2022,https://static.eurofound.europa.eu/covid19db/cases/FI-2022-32_2201.html
Crisis advice for Czech companies exporting products to Ukraine and Russia,Czechia,03/04/2022,Measures related to foreign trade,06/20/2022,https://static.eurofound.europa.eu/covid19db/cases/CZ-2022-10_2202.html
Additional financial resources for social services,Belgium,03/04/2022,Other humanitarian measures,06/20/2022,https://static.eurofound.europa.eu/covid19db/cases/BE-2022-10_2203.html
Access to the labour market for Ukrainian refugees,Belgium,03/04/2022,Smoothing frictions or reallocation of workers,06/20/2022,https://static.eurofound.europa.eu/covid19db/cases/BE-2022-10_2204.html
"Support measures for students, doctoral candidates, researchers, teachers of Ukraine",Italy,02/28/2022,Smoothing frictions or reallocation of workers,06/19/2023,https://static.eurofound.europa.eu/covid19db/cases/IT-2022-10_2205.html
Refugeehelp.nl: A webpage for refugees and helpers,Netherlands,02/24/2022,Other humanitarian measures,06/14/2022,https://static.eurofound.europa.eu/covid19db/cases/NL-2022-9_2206.html
Setting up new accommodation for refugees from Ukraine in Dutch regions,Netherlands,03/08/2022,Protection of vulnerable groups (beyond employment support),06/12/2023,https://static.eurofound.europa.eu/covid19db/cases/NL-2022-11_2207.html
Reception of Ukrainian refugees,Italy,03/31/2022,Other humanitarian measures,06/19/2023,https://static.eurofound.europa.eu/covid19db/cases/IT-2022-14_2210.html
Access to the labour market and medical care for Ukrainian refugees,Greece,03/28/2022,Other humanitarian measures,06/20/2022,https://static.eurofound.europa.eu/covid19db/cases/GR-2022-14_2212.html
Refugee accommodation allowance for persons and entities hosting refugees free of charge,Slovakia,06/01/2022,Keeping or obtaining a safe home,10/07/2022,https://static.eurofound.europa.eu/covid19db/cases/SK-2022-23_2214.html
Access to healthcare for Ukrainian refugees ,Poland,02/24/2022,Access to healthcare,06/20/2022,https://static.eurofound.europa.eu/covid19db/cases/PL-2022-9_2216.html
Subsidy for sectors most damaged by COVID-19 measures,Czechia,04/05/2022,Direct subsidies (full or partial) or damage compensation,06/20/2022,https://static.eurofound.europa.eu/covid19db/cases/CZ-2022-15_2218.html
Temporary protection visas for Ukrainian nationals,Cyprus,03/22/2022,Protection of vulnerable groups (beyond employment support),06/13/2023,https://static.eurofound.europa.eu/covid19db/cases/CY-2022-13_2219.html
"Access to basic social assistance, students assistance, and health insurance for Ukrainian refugees",Germany,06/01/2022,Extensions of income support to workers not covered by any kind of protection scheme,02/27/2023,https://static.eurofound.europa.eu/covid19db/cases/DE-2022-23_2220.html
Tax reduction on energy bill and reduction of tax rate on electricity,Netherlands,01/01/2022,Support for energy bills,06/12/2023,https://static.eurofound.europa.eu/covid19db/cases/NL-2022-1_2221.html
Allowance to cover elevated monthly housing costs for low-income households,Czechia,10/01/1995,Keeping or obtaining a safe home,08/11/2022,https://static.eurofound.europa.eu/covid19db/cases/CZ-1995-40_2222.html
Housing supplement for low income households extended to Ukrainian refugees,Czechia,01/01/2007,Keeping or obtaining a safe home,06/20/2022,https://static.eurofound.europa.eu/covid19db/cases/CZ-2007-1_2223.html
Solidarity subsidy for people accommodating Ukrainian refugees,Czechia,04/11/2022,Keeping or obtaining a safe home,11/10/2023,https://static.eurofound.europa.eu/covid19db/cases/CZ-2022-16_2224.html
Simplified procedures for Ukrainian healthcare personnel ,Poland,02/24/2022,"Active labour market policies (enhancing employability, training, subsidised job creation, etc.)",03/02/2023,https://static.eurofound.europa.eu/covid19db/cases/PL-2022-9_2225.html
Child bonus 2022 to cushion pressures on families from rising energy prices,Germany,07/01/2022,Support for energy bills,02/27/2023,https://static.eurofound.europa.eu/covid19db/cases/DE-2022-27_2228.html
Ukraine: Expansion of the public accommodation programme,Czechia,04/20/2022,Keeping or obtaining a safe home,06/20/2022,https://static.eurofound.europa.eu/covid19db/cases/CZ-2022-17_2229.html
Temporary reduction in fuel tax,Germany,06/01/2022,Support for fuel expenses,11/08/2023,https://static.eurofound.europa.eu/covid19db/cases/DE-2022-23_2231.html
"Federal financial support for accommodation, schooling, childcare and care for Ukrainian refugees",Germany,01/01/2022,Protection of vulnerable groups (beyond employment support),11/08/2023,https://static.eurofound.europa.eu/covid19db/cases/DE-2022-1_2232.html
Government funding of NGOs for actions to address the pandemic,Greece,03/23/2022,Access to healthcare,06/17/2022,https://static.eurofound.europa.eu/covid19db/cases/GR-2022-13_2233.html
Government funding for purchasing ambulances,Greece,02/08/2022,Access to healthcare,07/06/2022,https://static.eurofound.europa.eu/covid19db/cases/GR-2022-7_2234.html
Reduction in VAT on energy and excise duty on petrol and diesel,Netherlands,04/01/2022,Support for energy bills,03/12/2023,https://static.eurofound.europa.eu/covid19db/cases/NL-2022-14_2235.html
Extra energy allowance for lower incomes,Netherlands,01/01/2022,Support for energy bills,06/12/2023,https://static.eurofound.europa.eu/covid19db/cases/NL-2022-1_2236.html
More money for households to take energy-saving measures,Netherlands,01/01/2022,"Support for spending, stimulus packages",06/12/2023,https://static.eurofound.europa.eu/covid19db/cases/NL-2022-1_2237.html
Our Ukrainians website: nasiukrajinci.cz,Czechia,04/07/2022,Other humanitarian measures,06/20/2022,https://static.eurofound.europa.eu/covid19db/cases/CZ-2022-15_2238.html
Reception and settlement of people displaced from Ukraine,Norway,04/01/2022,Protection of vulnerable groups (beyond employment support),06/20/2022,https://static.eurofound.europa.eu/covid19db/cases/NO-2022-14_2239.html
Contribution to fixed costs for new entrepreneurs (Q4 2021 and Q1 2022),Netherlands,10/01/2021,Direct subsidies (full or partial) or damage compensation,06/22/2022,https://static.eurofound.europa.eu/covid19db/cases/NL-2021-40_2240.html
20 cent reduction per litre of fuel refuelled,Spain,04/01/2022,Support for fuel expenses,07/06/2023,https://static.eurofound.europa.eu/covid19db/cases/ES-2022-14_2242.html
Benefits for people who help to house and feed refugees,Poland,02/24/2022,Provision of services in kind (e.g. food vouchers),07/25/2023,https://static.eurofound.europa.eu/covid19db/cases/PL-2022-9_2243.html
Energy bonus for enterprises,Italy,05/18/2022,Support for energy bills,09/23/2022,https://static.eurofound.europa.eu/covid19db/cases/IT-2022-21_2246.html
Wage indexation advanced to address rise in prices,Luxembourg,03/31/2022,Increasing income in general,06/19/2023,https://static.eurofound.europa.eu/covid19db/cases/LU-2022-14_2247.html
Limitation on rental payments for housing,Spain,04/01/2022,Keeping or obtaining a safe home,03/28/2024,https://static.eurofound.europa.eu/covid19db/cases/ES-2022-14_2248.html
Temporary increase in the minimum living income,Spain,04/01/2022,Increasing income in general,03/28/2024,https://static.eurofound.europa.eu/covid19db/cases/ES-2022-14_2249.html
New line of €10 billion in credit guarantees for liquidity needs in companies,Spain,05/10/2022,Access to finance,07/06/2023,https://static.eurofound.europa.eu/covid19db/cases/ES-2022-20_2250.html
One-time payment for receivers of unemployment and social assistance and unemployment benefits,Germany,07/01/2022,Increasing income in general,02/27/2023,https://static.eurofound.europa.eu/covid19db/cases/DE-2022-27_2252.html
Reduced monthly ticket for local public transport,Germany,06/01/2022,Sustainable mobility,06/13/2023,https://static.eurofound.europa.eu/covid19db/cases/DE-2022-23_2253.html
Energy tax credit based on income level replaces second wage indexation,Luxembourg,04/01/2022,Support for energy bills,06/02/2023,https://static.eurofound.europa.eu/covid19db/cases/LU-2022-14_2255.html
Reduction of fuel prices for all consumers,Luxembourg,04/13/2022,Support for fuel expenses,11/09/2022,https://static.eurofound.europa.eu/covid19db/cases/LU-2022-16_2256.html
Public aids for the agricultural sector,Spain,04/01/2022,Access to finance,07/06/2023,https://static.eurofound.europa.eu/covid19db/cases/ES-2022-14_2257.html
